NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Philadelphia PA,16691.0,,35543.0,7679.0,7951.0,2569.0,2383.0,,,372.0,11887.0,5484.0,2194.0,930.0,590.0,2689.0,,24.8,,1.39,1.27,1.1,5486.0,,65.0,1.5,,1.08,67.9,26.3,9.9,16.4,41.6,53.9,28.0,13.3,9.9,1.35,62.4,14.9,6.3,2.8,3.5,8.6,10.0,43.7,24.9,,1.63,6.2,33.9,24.5,34.9,12.0,50.7,11.4,3359.0,3046.0,313.0,87.8,93.0,88.2,78.9
Phoenix AZ,7765.0,43514.0,22816.0,7230.0,5442.0,1349.0,4307.0,,1164.0,307.0,9300.0,3344.0,,945.0,524.0,2344.0,19906.0,15.1,1319.0,0.9,0.77,1.16,3357.0,,62.0,0.92,0.89,1.03,41.3,12.9,6.5,6.4,28.4,36.5,21.2,8.5,,1.0,37.5,9.1,3.1,1.8,1.3,6.0,7.1,,,,1.08,,23.6,15.0,47.3,20.7,29.3,7.5,2809.0,2500.0,309.0,,91.3,85.5,
Pittsburgh PA,16913.0,48305.0,26718.0,6529.0,8002.0,2783.0,1731.0,1139.0,1217.0,186.0,9561.0,4067.0,1821.0,705.0,,,,22.4,1022.0,1.03,1.14,0.9,4081.0,73.1,56.0,1.11,1.19,0.93,61.4,15.3,8.5,6.8,46.1,,24.4,,9.5,1.07,,13.1,3.7,,,9.4,11.2,38.3,19.2,15.6,1.23,7.3,,19.9,26.8,10.0,39.9,9.3,2832.0,2505.0,327.0,88.5,92.1,,82.2
Pontiac MI,1893.0,51147.0,29447.0,7845.0,5821.0,2895.0,,684.0,1207.0,253.0,10644.0,4567.0,2318.0,1070.0,607.0,2080.0,25766.0,20.6,1249.0,1.16,1.05,1.1,4573.0,70.3,65.0,1.25,,1.09,56.5,,6.5,6.1,44.0,44.0,24.6,9.8,10.1,0.97,48.8,12.2,3.2,1.9,1.4,,7.6,35.2,16.6,15.8,1.05,6.5,30.5,19.0,44.4,,43.7,9.7,3131.0,2811.0,320.0,90.6,97.2,94.1,
Portland ME,6263.0,,20138.0,7306.0,6228.0,2581.0,1544.0,842.0,1031.0,176.0,6722.0,2515.0,1471.0,539.0,390.0,1807.0,18037.0,16.5,1091.0,,0.84,,2607.0,44.4,59.0,0.71,0.73,0.98,45.3,7.0,,,38.3,55.5,16.4,5.7,,0.81,39.0,9.7,1.7,1.7,0.1,8.0,10.5,20.4,8.2,10.6,0.77,9.0,31.8,14.4,18.8,8.1,21.7,6.5,2073.0,1807.0,266.0,89.8,94.2,,82.6
Portland OR,6170.0,37347.0,19913.0,6917.0,,1819.0,2750.0,823.0,1114.0,125.0,6902.0,2384.0,1524.0,552.0,307.0,2135.0,18097.0,12.2,1481.0,0.81,0.62,1.3,2441.0,38.6,63.0,0.67,0.63,,33.5,6.5,5.6,0.9,27.0,31.5,15.1,5.1,6.6,0.77,29.5,7.4,1.6,1.4,0.2,5.8,6.1,17.3,,9.3,0.72,4.3,24.9,13.5,,14.4,18.3,6.0,2125.0,1838.0,287.0,87.9,94.4,86.0,78.5
Providence RI,5246.0,47778.0,25177.0,7324.0,8777.0,,1604.0,1316.0,864.0,165.0,8990.0,3589.0,1744.0,793.0,574.0,2290.0,22301.0,19.3,1158.0,1.0,0.98,1.02,3596.0,,67.0,0.98,0.87,1.12,52.8,9.5,7.8,,43.2,68.2,,6.8,8.9,0.76,45.9,11.7,2.5,2.1,0.4,9.2,12.5,25.8,9.7,13.5,0.72,7.6,31.3,16.2,26.3,8.0,34.6,8.1,2493.0,2268.0,225.0,89.2,94.2,89.8,80.5
Provo UT,1186.0,42076.0,,6854.0,5169.0,5914.0,4568.0,425.0,1421.0,119.0,6794.0,,1940.0,583.0,,1886.0,15746.0,12.4,,0.71,0.63,1.12,2113.0,35.9,59.0,0.58,0.59,0.98,33.9,8.8,8.4,0.4,25.1,42.5,14.7,5.4,5.8,0.93,31.8,7.0,2.2,2.1,0.1,4.8,8.0,15.5,6.2,8.2,0.76,,22.6,13.2,48.2,23.8,11.7,4.9,2063.0,1694.0,369.0,86.2,91.5,83.0,79.6
Pueblo CO,706.0,40051.0,20736.0,6479.0,6345.0,1902.0,,447.0,1950.0,319.0,,2952.0,1676.0,583.0,445.0,1636.0,18260.0,15.8,1159.0,0.82,0.8,1.02,,53.9,,0.82,0.88,0.93,43.2,,5.4,4.0,33.8,,18.7,6.3,8.6,0.73,37.4,9.1,2.2,1.3,0.9,,10.9,25.3,9.5,14.0,0.68,5.5,27.1,14.1,25.4,11.5,25.2,6.8,2460.0,1938.0,,93.3,97.5,92.4,86.9
Raleigh NC,7034.0,41914.0,23257.0,7140.0,5340.0,1821.0,2151.0,661.0,1329.0,215.0,7651.0,2961.0,1575.0,616.0,423.0,2076.0,20662.0,20.1,1030.0,0.93,1.02,0.91,3006.0,53.8,56.0,,0.88,0.93,54.9,14.3,8.0,6.2,40.7,53.1,19.3,,8.5,0.82,48.8,12.1,3.4,2.1,1.3,8.7,10.0,26.2,10.8,13.3,0.81,5.3,38.0,20.1,25.5,12.8,,7.3,2540.0,2157.0,383.0,87.0,91.6,87.0,79.3
